Titlu,Autor,Topic,Temă,Tema1,Tema2,Tema3,Scor
provincial_sadness,ramona_boldiszar,2,philosophical & ontological inquiry,identity & otherness,mundane & daily life,love & intimacy,0
i_am_here,ioana_nicolaie,4,mundane & daily life,interconnected structures,digital realities & posthumanism,philosophical & ontological inquiry,0
party,elena_vladareanu,4,mundane & daily life,eco-consciousness,digital realities & posthumanism,identity & otherness,0
***,vlad_dragoi,2,philosophical & ontological inquiry,mundane & daily life,philosophical & ontological inquiry,interconnected structures,50
cu ce citim poezia...,nora_iuga,3,self-referentiality (ars poetica),self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,100
nu mai știu,nora_iuga,3,self-referentiality (ars poetica),love & intimacy,identity & otherness,mundane & daily life,0
cal aș fi vrut să fiu,nora_iuga,0,identity & otherness,interconnected structures,identity & otherness,philosophical & ontological inquiry,50
căldură și structură,anastasia_gavrilovici,7,love & intimacy,love & intimacy,identity & otherness,mundane & daily life,100
anita alvarez,anastasia_gavrilovici,3,self-referentiality (ars poetica),identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,0
de dimineaţă în cap începe măcelul,anastasia_gavrilovici,3,self-referentiality (ars poetica),love & intimacy,identity & otherness,interconnected structures,0
aici,anastasia_gavrilovici,2,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,philosophical & ontological inquiry,25
"la sfârșitul zilei, inima mea",anastasia_gavrilovici,3,self-referentiality (ars poetica),identity & otherness,digital realities & posthumanism,eco-consciousness,0
tristețea cefalopodelor,anastasia_gavrilovici,4,mundane & daily life,love & intimacy,identity & otherness,interconnected structures,0
avionașe de hârtie,anastasia_gavrilovici,3,self-referentiality (ars poetica),love & intimacy,identity & otherness,mundane & daily life,0
se poate trăi și așa,anastasia_gavrilovici,7,love & intimacy,mundane & daily life,love & intimacy,digital realities & posthumanism,50
mirosul proaspăt de vopsea,anastasia_gavrilovici,5,eco-consciousness,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,0
poligon,anastasia_gavrilovici,1,interconnected structures,eco-consciousness,identity & otherness,love & intimacy,0
de dimineață ca-ntr-un tablou de dalí,anastasia_gavrilovici,7,love & intimacy,mundane & daily life,love & intimacy,interconnected structures,50
christmas party 2013,anastasia_gavrilovici,3,self-referentiality (ars poetica),identity & otherness,mundane & daily life,digital realities & posthumanism,0
