Titlu,Autor,Topic
provincial_sadness,ramona_boldiszar,2
i_am_here,ioana_nicolaie,4
party,elena_vladareanu,4
***,vlad_dragoi,2
cu ce citim poezia...,nora_iuga,3
NU MAI ȘTIU,nora_iuga,3
CAL AȘ FI VRUT SĂ FIU,nora_iuga,0
Căldură și structură,anastasia_gavrilovici,7
Anita Alvarez,anastasia_gavrilovici,3
de dimineaţă în cap începe măcelul,anastasia_gavrilovici,3
Aici,anastasia_gavrilovici,2
"La sfârșitul zilei, inima mea",anastasia_gavrilovici,3
Tristețea cefalopodelor,anastasia_gavrilovici,4
avionașe de hârtie,anastasia_gavrilovici,3
SE POATE TRĂI ȘI AȘA,anastasia_gavrilovici,7
mirosul proaspăt de vopsea,anastasia_gavrilovici,5
poligon,anastasia_gavrilovici,1
de dimineață ca-ntr-un tablou de dalí,anastasia_gavrilovici,7
christmas party 2013,anastasia_gavrilovici,3
cât de bine,anastasia_gavrilovici,4
NE-AM RIDICAT DE LA MASĂ PUȚIN AMEȚIȚI,anastasia_gavrilovici,0
e doar tristeţe,anastasia_gavrilovici,4
ce mai fac,anastasia_gavrilovici,3
lucruri simple,anastasia_gavrilovici,3
Ultima frontieră,anastasia_gavrilovici,4
Ultima matrioșkă,anastasia_gavrilovici,4
Viețile altora,anastasia_gavrilovici,1
as_far_as_i_know_the_humans,marin_malaicu_hondrari,5
THE RAINBOWCONNECTION,simona_popescu,3
1,adela_greceanu,3
Gîscă,adela_greceanu,5
Adila,adela_greceanu,5
Provinciala,adela_greceanu,6
Adila în vacanță,adela_greceanu,6
Tartină. Cvasinecunoscută. A gestiona o relaţie,adela_greceanu,5
Udo,adela_greceanu,1
Liniuțe și bastonașe,adela_greceanu,1
"Titlul volumului meu, care ma preocupa atat de mult",adela_greceanu,6
***,octavian_soviany,7
grădina de cafea,dan_coman,2
numai ea,dan_coman,5
o fată din moldova (o săsoaică),dan_coman,2
27,dan_coman,0
Poem,dan_coman,6
iarba din hol,dan_coman,6
plimbarea,dan_coman,4
profesoara de literatură din noul val,dan_coman,0
teodora,dan_coman,0
un om bun,dan_coman,2
poem de dragoste,dan_coman,3
Vizită- necunoscuta,dan_coman,4
un poem trimis lui radu vancu pe mess,dan_coman,2
poem de dragoste (v2),dan_coman,1
eu sînt cel ce nu sînt,dan_coman,5
narcisa,dan_coman,7
pisica larisei,dan_coman,1
Degeţica,dan_coman,7
Vizită- magdalena,dan_coman,2
Începutul,dan_coman,7
mesaje,dan_coman,3
octombrie,dan_coman,4
Irezistibil,dan_coman,3
Amintire de pe strada Grigore Bălan,dan_coman,3
poem de dimineață,dan_coman,3
Poemul de noapte,dan_coman,0
Alesul,dan_coman,7
Aniversarea,dan_coman,0
În vremea nopţii,dan_coman,1
plăcerea,dan_coman,7
strigătul,dan_coman,6
"dragoste, îngenunchere",bogdan_o_popescu,2
aer cald,bogdan_o_popescu,0
"înălţimi, adieri de tine",bogdan_o_popescu,1
vignette,bogdan_o_popescu,2
CU TINE E ALTCEVA,svetlana_carstean,2
no_title,svetlana_carstean,1
cîntec de trecere 3 sau carte poștală cu pui de taur. netrimisă de saintes-maries-de-la-mer,svetlana_carstean,3
in_a_world_made_of_stone,olga_stefan,2
beautiful_people_ugly_people,stefania_mihalache,7
manufacturing_fault,iv_cel_naiv,3
guilt,iv_cel_naiv,2
for_reasons_of_survival,radu_vancu,3
Canto XIII,radu_vancu,5
the_most_stupid_man,radu_vancu,2
time_for_a_cigarette,ligia_parvulescu,6
Cintece eXcesive,dan_sociu,0
Toată iarna am aşteptat durerea mea anuală de dinţi,dan_sociu,5
11,dan_sociu,5
&2,dan_sociu,3
1,dan_sociu,7
Beau pentru morţi,dan_sociu,7
capul în mîini,dan_sociu,2
Salamandră,dan_sociu,7
Cîntec eXcesiv II,dan_sociu,7
N-am mai văzut un copil așa de vesel,dan_sociu,2
&16,dan_sociu,1
Cîntec eXcesiv III,dan_sociu,2
&3,dan_sociu,7
10,dan_sociu,7
vodcă sau vin,dan_sociu,7
